metagenome	level 1	level 2	level 3	function	abundance	avg eValue	avg % ident	avg align len	# proteins	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Cysteine desulfurase (EC 2.8.1.7), SufS subfamily	15	-4.80	73.45	30.07	13	
4441679.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Cysteine desulfurase (EC 2.8.1.7), SufS subfamily	16	-5.62	76.53	30.06	15	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Cysteine desulfurase (EC 2.8.1.7), SufS subfamily	10	-6.10	76.53	31.00	10	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Cysteine desulfurase CsdA-CsdE (EC 2.8.1.7), main protein CsdA	1	-3.00	82.61	23.00	1	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Ferredoxin, 2Fe-2S	2	-8.50	89.98	30.50	2	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Ferredoxin, 2Fe-2S	13	-7.88	81.35	32.12	6	
4441679.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Iron binding protein IscA for iron-sulfur cluster assembly	1	-7.00	77.14	35.00	1	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Iron binding protein IscA for iron-sulfur cluster assembly	7	-7.33	87.90	29.17	3	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Iron-sulfur cluster assembly scaffold protein IscU	8	-4.86	79.54	28.43	7	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Iron-sulfur cluster assembly scaffold protein IscU	11	-6.11	81.13	30.78	7	
4441679.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Iron-sulfur cluster assembly scaffold protein IscU	12	-7.00	85.60	29.58	9	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Iron-sulfur cluster assembly scaffold protein IscU	24	-7.57	85.03	32.00	13	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Iron-sulfur cluster regulator IscR	4	-4.75	69.42	33.75	4	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Iron-sulfur cluster regulator IscR	1	-4.00	75.00	28.00	1	
4441679.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Iron-sulfur cluster regulator IscR	7	-3.14	70.90	27.57	4	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Iron-sulfur cluster regulator IscR	24	-5.50	79.70	30.62	8	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Probable valine-pyruvate aminotransferase (EC 2.6.1.66)	1	-4.00	52.94	34.00	1	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Valine--pyruvate aminotransferase (EC 2.6.1.66)	1	-4.00	65.52	29.00	1	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Valine--pyruvate aminotransferase (EC 2.6.1.66)	1	-9.00	88.57	35.00	1	
4441679.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Valine--pyruvate aminotransferase (EC 2.6.1.66)	1	-13.00	94.44	36.00	1	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Valine--pyruvate aminotransferase (EC 2.6.1.66)	95	-7.66	83.67	31.56	13	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine Biosynthesis	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	30	-6.17	76.76	30.93	25	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine Biosynthesis	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	26	-5.75	81.24	29.83	14	
4441679.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine Biosynthesis	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	33	-6.38	81.99	30.52	20	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine Biosynthesis	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	18	-6.67	82.83	31.00	12	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine Biosynthesis	L-threonine 3-dehydrogenase (EC 1.1.1.103)	11	-5.82	76.90	30.64	10	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine Biosynthesis	L-threonine 3-dehydrogenase (EC 1.1.1.103)	14	-6.79	80.31	30.50	9	
4441679.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine Biosynthesis	L-threonine 3-dehydrogenase (EC 1.1.1.103)	14	-6.46	77.86	31.54	9	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine Biosynthesis	L-threonine 3-dehydrogenase (EC 1.1.1.103)	5	-6.60	81.95	29.60	4	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine Biosynthesis	Low-specificity L-threonine aldolase (EC 4.1.2.5)	21	-4.89	74.34	29.47	13	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine Biosynthesis	Low-specificity L-threonine aldolase (EC 4.1.2.5)	19	-4.83	75.06	29.22	12	
4441679.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine Biosynthesis	Low-specificity L-threonine aldolase (EC 4.1.2.5)	13	-4.17	71.61	30.25	10	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine Biosynthesis	Low-specificity L-threonine aldolase (EC 4.1.2.5)	47	-6.07	79.29	30.36	16	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine Biosynthesis	Serine hydroxymethyltransferase (EC 2.1.2.1)	45	-6.57	80.86	31.57	34	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine Biosynthesis	Serine hydroxymethyltransferase (EC 2.1.2.1)	37	-6.73	80.21	31.57	29	
4441679.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine Biosynthesis	Serine hydroxymethyltransferase (EC 2.1.2.1)	64	-6.76	81.30	31.16	47	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine Biosynthesis	Serine hydroxymethyltransferase (EC 2.1.2.1)	97	-7.89	86.43	31.78	47	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	30	-6.17	76.76	30.93	25	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	26	-5.75	81.24	29.83	14	
4441679.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	33	-6.38	81.99	30.52	20	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	18	-6.67	82.83	31.00	12	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)	11	-7.18	79.76	32.64	9	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)	9	-4.22	71.90	27.67	9	
4441679.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)	13	-4.92	75.66	28.77	11	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)	58	-6.41	82.40	30.27	10	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Cystathionine beta-synthase (EC 4.2.1.22)	6	-5.83	83.15	29.67	4	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Cystathionine beta-synthase (EC 4.2.1.22)	6	-4.67	77.23	28.83	4	
4441679.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Cystathionine beta-synthase (EC 4.2.1.22)	8	-5.14	72.19	32.14	5	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Cystathionine beta-synthase (EC 4.2.1.22)	1	-6.00	65.62	32.00	1	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Cystathionine gamma-lyase (EC 4.4.1.1)	5	-5.60	80.17	29.80	4	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Cystathionine gamma-lyase (EC 4.4.1.1)	4	-5.75	72.19	32.25	4	
4441679.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Cystathionine gamma-lyase (EC 4.4.1.1)	6	-6.00	79.65	30.33	6	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Cystathionine gamma-lyase (EC 4.4.1.1)	12	-5.30	75.77	30.60	10	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	38	-4.71	74.72	30.84	33	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	24	-4.33	70.61	31.50	20	
4441679.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	39	-5.54	76.22	30.85	31	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	79	-6.06	81.30	30.68	37	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	D-serine dehydratase (EC 4.3.1.18)	3	-3.00	66.52	26.67	3	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	D-serine dehydratase (EC 4.3.1.18)	1	-3.00	63.33	30.00	1	
4441679.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	D-serine dehydratase (EC 4.3.1.18)	5	-4.50	80.64	25.75	4	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	D-serine dehydratase (EC 4.3.1.18)	2	-3.50	66.31	31.00	2	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Glycerate kinase (EC 2.7.1.31)	6	-4.50	72.50	30.33	4	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Glycerate kinase (EC 2.7.1.31)	5	-3.80	74.66	28.00	5	
4441679.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Glycerate kinase (EC 2.7.1.31)	7	-4.29	68.48	30.29	7	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Glycerate kinase (EC 2.7.1.31)	35	-5.19	78.49	29.90	14	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Glycine cleavage system H protein	6	-6.17	78.12	31.83	6	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Glycine cleavage system H protein	5	-4.60	70.82	30.80	5	
4441679.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Glycine cleavage system H protein	7	-6.00	79.73	30.29	7	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Glycine cleavage system H protein	25	-5.68	81.20	28.84	14	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)	13	-6.08	78.68	30.54	13	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)	13	-6.38	80.28	31.54	13	
4441679.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)	11	-5.50	80.90	28.10	9	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)	173	-7.17	86.69	30.12	34	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P1 protein) (EC 1.4.4.2)	3	-5.33	77.59	31.33	3	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P1 protein) (EC 1.4.4.2)	7	-6.50	80.37	31.00	5	
4441679.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P1 protein) (EC 1.4.4.2)	16	-5.47	76.93	30.27	10	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P1 protein) (EC 1.4.4.2)	9	-5.29	77.26	29.00	7	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P2 protein) (EC 1.4.4.2)	16	-5.73	73.18	30.87	13	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P2 protein) (EC 1.4.4.2)	18	-6.60	79.29	30.33	14	
4441679.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P2 protein) (EC 1.4.4.2)	22	-5.21	80.64	28.68	14	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P2 protein) (EC 1.4.4.2)	9	-6.22	77.23	30.78	7	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	L-serine dehydratase (EC 4.3.1.17)	16	-5.19	77.87	28.75	10	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	L-serine dehydratase (EC 4.3.1.17)	11	-6.00	84.40	28.50	7	
4441679.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	L-serine dehydratase (EC 4.3.1.17)	12	-5.36	79.80	29.64	10	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	L-serine dehydratase (EC 4.3.1.17)	49	-5.26	77.09	30.26	14	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	L-serine dehydratase 1 (EC 4.3.1.17)	2	-4.50	64.53	34.50	2	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	L-serine dehydratase, alpha subunit (EC 4.3.1.17)	4	-4.50	71.66	30.00	4	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	L-serine dehydratase, alpha subunit (EC 4.3.1.17)	3	-4.67	80.49	27.33	3	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	L-serine dehydratase, alpha subunit (EC 4.3.1.17)	2	-6.00	83.52	28.50	2	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	L-serine dehydratase, beta subunit (EC 4.3.1.17)	2	-5.00	84.36	28.50	2	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	L-serine dehydratase, beta subunit (EC 4.3.1.17)	2	-4.00	68.13	30.00	2	
4441679.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	L-serine dehydratase, beta subunit (EC 4.3.1.17)	1	-4.00	70.97	31.00	1	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	L-serine dehydratase, beta subunit (EC 4.3.1.17)	2	-7.50	79.42	34.50	2	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Phosphoserine aminotransferase (EC 2.6.1.52)	32	-5.77	75.80	31.42	22	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Phosphoserine aminotransferase (EC 2.6.1.52)	32	-6.03	78.63	30.97	21	
4441679.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Phosphoserine aminotransferase (EC 2.6.1.52)	28	-5.41	76.87	29.93	14	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Phosphoserine aminotransferase (EC 2.6.1.52)	77	-6.70	80.63	31.48	25	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Phosphoserine phosphatase (EC 3.1.3.3)	5	-5.60	76.17	32.00	4	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Phosphoserine phosphatase (EC 3.1.3.3)	5	-7.20	86.77	30.60	4	
4441679.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Phosphoserine phosphatase (EC 3.1.3.3)	8	-6.14	87.61	29.43	5	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Phosphoserine phosphatase (EC 3.1.3.3)	95	-6.08	83.70	29.92	18	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Serine hydroxymethyltransferase (EC 2.1.2.1)	45	-6.57	80.86	31.57	34	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Serine hydroxymethyltransferase (EC 2.1.2.1)	37	-6.73	80.21	31.57	29	
4441679.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Serine hydroxymethyltransferase (EC 2.1.2.1)	64	-6.76	81.30	31.16	47	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Serine hydroxymethyltransferase (EC 2.1.2.1)	97	-7.89	86.43	31.78	47	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Seryl-tRNA synthetase (EC 6.1.1.11)	62	-7.71	85.49	30.88	30	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Seryl-tRNA synthetase (EC 6.1.1.11)	31	-7.04	82.88	31.37	18	
4441679.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Seryl-tRNA synthetase (EC 6.1.1.11)	58	-7.10	82.67	30.82	24	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Seryl-tRNA synthetase (EC 6.1.1.11)	104	-7.19	84.97	30.79	43	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine and Serine Utilization	Threonine dehydratase, catabolic (EC 4.3.1.19)	2	-4.50	60.57	33.00	2	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine cleavage system	Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)	11	-7.18	79.76	32.64	9	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine cleavage system	Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)	9	-4.22	71.90	27.67	9	
4441679.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine cleavage system	Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)	13	-4.92	75.66	28.77	11	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine cleavage system	Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)	58	-6.41	82.40	30.27	10	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine cleavage system	Dihydrolipoamide dehydrogenase (EC 1.8.1.4)	10	-5.00	73.14	31.70	10	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine cleavage system	Dihydrolipoamide dehydrogenase (EC 1.8.1.4)	4	-4.25	66.95	32.50	4	
4441679.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine cleavage system	Dihydrolipoamide dehydrogenase (EC 1.8.1.4)	10	-4.33	74.54	30.78	9	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine cleavage system	Dihydrolipoamide dehydrogenase (EC 1.8.1.4)	76	-6.45	80.46	31.18	19	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine cleavage system	Glycine cleavage system H protein	6	-6.17	78.12	31.83	6	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine cleavage system	Glycine cleavage system H protein	5	-4.60	70.82	30.80	5	
4441679.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine cleavage system	Glycine cleavage system H protein	7	-6.00	79.73	30.29	7	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine cleavage system	Glycine cleavage system H protein	25	-5.68	81.20	28.84	14	
4441679.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine cleavage system	Glycine cleavage system transcriptional activator GcvA	1	-9.00	100.00	31.00	1	
4441681.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine cleavage system	Glycine cleavage system transcriptional activator GcvA	3	-3.67	84.94	26.33	2	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine cleavage system	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)	13	-6.08	78.68	30.54	13	
4441680.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine cleavage system	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)	13	-6.38	80.28	31.54	13	
